label,est,lo,hi,weight,type
SPAQ,0.239405208,0.224627531,0.255099478,949.5762936,study
DHAPQ,0.180351961,0.150880979,0.215633173,120.5100108,study
"Seasonal RTS,S",0.243384398,0.202033528,0.294183307,108.8251595,study
"SPAQ + Seasonal RTS,S",0.067738757,0.052430894,0.087350304,58.97919907,study
ASAQ (monthly),0.321774688,0.254721373,0.407175509,69.83760921,study
SPPQ,0.137004752,0.043338289,0.4279518,2.930292755,study
SPAS / SP (monthly),0.363399166,0.30076684,0.439078361,107.3499287,study
SP (bimonthly),0.548005069,0.454752929,0.66144056,109.4671674,study
ASAQ (bimonthly),0.683254076,0.543238321,0.858282759,73.45263615,study
