label,est,lo,hi,weight,type
SPAQ,0.291628821,0.272299888,0.312249109,25.03177747,study
DHAPQ,0.334062127,0.270301967,0.411024377,7.106188718,study
"Seasonal RTS,S",0.296705973,0.24483869,0.357969805,8.839301136,study
"SPAQ + Seasonal RTS,S",0.082630083,0.063990221,0.106681272,23.42411309,study
ASAQ (monthly),0.332104022,0.262434516,0.420268515,6.335770528,study
SPPQ,0.217648775,0.068784046,0.684664161,1.623692624,study
SPAS / SP (monthly),0.374267254,0.309240161,0.452042145,7.002703833,study
SP (bimonthly),0.549192466,0.455564728,0.662126768,4.841160557,study
ASAQ (bimonthly),0.686741872,0.545854158,0.863379456,3.149355368,study
