label,est,lo,hi,weight,type
SPAQ,0.256718503,0.240168286,0.274261063,860.3501449,study
DHAPQ,0.197314097,0.164451229,0.237108086,189.4291426,study
"Seasonal RTS,S",0.261123709,0.216344848,0.315831566,101.034523,study
"SPAQ + Seasonal RTS,S",0.072687617,0.0562916,0.093705405,714.3914331,study
ASAQ (monthly),0.325721371,0.257015993,0.41349864,40.83829792,study
SPPQ,0.148598921,0.047387753,0.471932253,5.548218558,study
SPAS / SP (monthly),0.366943135,0.304299932,0.443529765,51.58642074,study
SP (bimonthly),0.548002734,0.453556407,0.660775549,23.28843259,study
ASAQ (bimonthly),0.684998172,0.543882738,0.858503625,10.10240785,study
